question,target
"Consider the following premises: Barbara is working. If it is windy, then Barbara is not working. Can we infer the following from them? Answer yes or no: It is windy.",no
"Consider the following premises: Joseph is listening to a song, and either it is snowing or it is overcast. Can we infer the following from them? Answer yes or no: either Joseph is listening to a song and it is snowing, or Joseph is listening to a song and it is overcast.",yes
Consider the following premises: Mary is writing a letter or it is windy. Mary is not writing a letter or Robert is a carpenter. Can we infer the following from them? Answer yes or no: It is windy or Robert is a carpenter.,yes
"Consider the following premises: It is sunny if and only if Susan is a doctor. Can we infer the following from them? Answer yes or no: If it is sunny, then Susan is a doctor and if Susan were a doctor, then it is sunny.",yes
"Consider the following premises: If James were a carpenter, then Susan is making tea. James is a carpenter or Patricia is reading a book. If Patricia reads a book, then Susan is making tea. Can we infer the following from them? Answer yes or no: Susan is not making tea.",no
"Consider the following premises: Barbara is a doctor. If Richard plays a game, then Barbara is not a doctor. Can we infer the following from them? Answer yes or no: Richard is playing a game.",no
Consider the following premises: Thomas is not taking a plane. Thomas is taking a plane if and only if it is snowing. Can we infer the following from them? Answer yes or no: Thomas is playing tennis.,no
Consider the following premises: It is snowing or it is snowing. Can we infer the following from them? Answer yes or no: It is snowing.,yes
Consider the following premises: It is windy and Jennifer is a bartender and Karen is taking a plane. Can we infer the following from them? Answer yes or no: It is late.,no
"Consider the following premises: If Susan were happy, then David is writing a letter. Susan is happy. Can we infer the following from them? Answer yes or no: David is writing a letter.",yes
"Consider the following premises: If it rains, then Robert is making tea and if Robert makes tea, then it is raining. Can we infer the following from them? Answer yes or no: It is raining if and only if Robert is making tea.",yes
Consider the following premises: The claim that it is sunny and the claim that it is overcast cannot both be true. Can we infer the following from them? Answer yes or no: It is not sunny or it is not overcast.,yes
"Consider the following premises: Joseph is reading a book. If Joseph reads a book, then Patricia is an artist. Can we infer the following from them? Answer yes or no: Patricia is an artist.",yes
Consider the following premises: It is cold and it is overcast. Can we infer the following from them? Answer yes or no: It is overcast and it is cold.,yes
Consider the following premises: It is not raining. It is raining if and only if David is a sailor. Can we infer the following from them? Answer yes or no: Mary is not happy.,no
Consider the following premises: It is late and it is cold. Can we infer the following from them? Answer yes or no: It is late.,yes
Consider the following premises: Sarah is an office clerk. Can we infer the following from them? Answer yes or no: Sarah is not an office clerk.,no
"Consider the following premises: If Mary goes running, then Jennifer is a mechanic. Can we infer the following from them? Answer yes or no: Mary is not running or Jennifer is a mechanic.",yes
Consider the following premises: Jessica is happy if and only if James is writing a letter. Can we infer the following from them? Answer yes or no: It is not cloudy.,no
"Consider the following premises: If it is overcast, then it is cold. If Robert were a sailor, then it is overcast. Can we infer the following from them? Answer yes or no: The fact that Robert were a sailor does not imply that it is cold.",no
Consider the following premises: Michael is a lawyer and it is sunny and it is overcast. Can we infer the following from them? Answer yes or no: Michael is a lawyer and it is sunny and it is overcast.,yes
"Consider the following premises: If it is late, then Patricia is sad. Patricia is not sad. Can we infer the following from them? Answer yes or no: It is not late.",yes
Consider the following premises: It is sunny. It is cloudy. Can we infer the following from them? Answer yes or no: It is cloudy and it is sunny.,yes
Consider the following premises: It is not sunny or Michael is a janitor. It is sunny or it is windy. Can we infer the following from them? Answer yes or no: It is windy or Michael is a janitor.,yes
Consider the following premises: Karen is listening to a song and it is snowing. Can we infer the following from them? Answer yes or no: It is snowing and Karen is listening to a song.,yes
Consider the following premises: Barbara is a nurse if and only if Mary is driving a car. Barbara is not a nurse. Can we infer the following from them? Answer yes or no: It is not snowing.,no
"Consider the following premises: If it is windy, then it is late. Can we infer the following from them? Answer yes or no: David is not a police officer.",no
Consider the following premises: James is not a sailor. It is overcast if and only if James is a sailor. Can we infer the following from them? Answer yes or no: It is not overcast.,yes
"Consider the following premises: Jessica is an electrician if and only if it is cloudy. Can we infer the following from them? Answer yes or no: The claim that if Jessica were an electrician, then it is cloudy and the claim that if it is cloudy, then Jessica is an electrician cannot both be true.",no
"Consider the following premises: Mary is not sad or James is listening to a song. Can we infer the following from them? Answer yes or no: If Mary were sad, then James is listening to a song.",yes
Consider the following premises: It is raining or Karen is playing tennis or Joseph is a soldier. Can we infer the following from them? Answer yes or no: It is raining or Karen is playing tennis or Joseph is a soldier.,yes
Consider the following premises: Mary is a carpenter or John is running. Mary is not a carpenter. Can we infer the following from them? Answer yes or no: John is running.,yes
"Consider the following premises: If it is late, then it is sunny and if it is sunny, then it is late. Can we infer the following from them? Answer yes or no: It is late if and only if it is sunny.",yes
Consider the following premises: It is raining. It is snowing. Can we infer the following from them? Answer yes or no: Karen is not taking a plane.,no
Consider the following premises: Sarah is excited. Can we infer the following from them? Answer yes or no: Sarah is excited.,yes
"Consider the following premises: Barbara is a sailor. If Barbara were a sailor, then Mary is taking a plane. Can we infer the following from them? Answer yes or no: Linda is not playing a game.",no
Consider the following premises: It is overcast or it is overcast. Can we infer the following from them? Answer yes or no: Robert is not a mechanic.,no
Consider the following premises: Linda is a writer. Barbara is a taxi driver. Can we infer the following from them? Answer yes or no: Barbara is a taxi driver and Linda is a writer.,yes
"Consider the following premises: Sarah is working. If Sarah works, then James is running. Can we infer the following from them? Answer yes or no: Karen is a mechanic.",no
"Consider the following premises: If it is sunny, then it is not snowing. It is snowing. Can we infer the following from them? Answer yes or no: It is not sunny.",yes
Consider the following premises: Neither it is sunny nor Linda is reading a book. Can we infer the following from them? Answer yes or no: It is overcast.,no
Consider the following premises: The claim that Sarah is drinking water and the claim that Mary is cooking cannot both be true. Sarah is not drinking water. Can we infer the following from them? Answer yes or no: Mary is cooking.,no
Consider the following premises: It is not overcast. The claim that it is overcast and the claim that Michael is a mechanic cannot both be true. Can we infer the following from them? Answer yes or no: Michael is a mechanic.,no
Consider the following premises: Linda is driving a car. Linda is driving a car or John is a janitor. Can we infer the following from them? Answer yes or no: John is a janitor.,no
"Consider the following premises: If Barbara makes tea, then Elisabeth is happy. Can we infer the following from them? Answer yes or no: If Elisabeth were happy, then Barbara is making tea.",no
"Consider the following premises: It is not raining. If it rains, then Elisabeth is playing a game. Can we infer the following from them? Answer yes or no: Elisabeth is not playing a game.",no
"Consider the following premises: If Robert were a janitor, then it is sunny. Can we infer the following from them? Answer yes or no: If it is sunny, then Robert is a janitor.",no
"Consider the following premises: If Susan were a doctor, then it is overcast. It is overcast. Can we infer the following from them? Answer yes or no: Susan is a doctor.",no
"Consider the following premises: If Mary climbs a mountain, then David is a bartender. Can we infer the following from them? Answer yes or no: If David were a bartender, then Mary is climbing a mountain.",no
"Consider the following premises: If it snows, then Karen is a server. Can we infer the following from them? Answer yes or no: If Karen were a server, then it is snowing.",no
"Consider the following premises: If Elisabeth plays a game, then for all z_4, z_4 is an office clerk. Can we infer the following from them? Answer yes or no: For all z_4, if Elisabeth plays a game, then z_4 is an office clerk.",yes
"Consider the following premises: There is at least one x for which x will not climb a mountain. Can we infer the following from them? Answer yes or no: Not for all x, x will climb a mountain.",yes
"Consider the following premises: For all x, x will not play a game. There is at least one x for which x will play a game if and only if x will listen to a song. Can we infer the following from them? Answer yes or no: There is at least one x for which x will not listen to a song.",yes
"Consider the following premises: For all z, z is a writer if and only if z is a police officer. Can we infer the following from them? Answer yes or no: For all z, if z were a writer, then z is a police officer.",yes
"Consider the following premises: For all x, x will make tea. Can we infer the following from them? Answer yes or no: There is at least one x for which x will not make tea.",no
"Consider the following premises: There is at least one z_4 for which z_4 will read a book or z_4 will make tea. Can we infer the following from them? Answer yes or no: For all z_4, z_4 is curious.",no
Consider the following premises: There is at least one x for which neither x will climb a mountain nor x is a poet. Can we infer the following from them? Answer yes or no: There is at least one x for which x is a lawyer.,no
"Consider the following premises: For all x, if Robert were a nurse, then x is driving a car. Can we infer the following from them? Answer yes or no: The fact that Robert were a nurse does not imply that for all x, x will drive a car.",no
"Consider the following premises: For all x, x is a soldier or for all x, x will drink water. Can we infer the following from them? Answer yes or no: Not for all x, x is a soldier or x will drink water.",no
"Consider the following premises: There is at least one u for which u is happy if and only if u is a musician. For all u, u is not a musician. Can we infer the following from them? Answer yes or no: There is at least one u for which u is not happy.",yes
"Consider the following premises: There is at least one u for which u will not play a game or u is an office clerk. Can we infer the following from them? Answer yes or no: For all u, the fact that u plays a game does not imply that u is an office clerk.",no
"Consider the following premises: For all x, x will make tea. Can we infer the following from them? Answer yes or no: Y is making tea.",yes
Consider the following premises: X is reading a book. Can we infer the following from them? Answer yes or no: There is at least one z_2 for which z_2 will read a book.,yes
"Consider the following premises: There is at least one x for which x is not excited or x is an astronaut. Can we infer the following from them? Answer yes or no: There is at least one x for which if x were excited, then x is an astronaut.",yes
"Consider the following premises: There is at least one u_1 for which u_1 will take a plane, or u_1 is rich and u_1 is a cashier. Can we infer the following from them? Answer yes or no: There is at least one u_1 for which both u_1 will take a plane or u_1 is rich and u_1 will take a plane or u_1 is a cashier are true.",yes
Consider the following premises: There is at least one v_2 for which v_2 is an artist and v_2 will listen to a song. Can we infer the following from them? Answer yes or no: There is at least one v_2 for which v_2 will listen to a song and v_2 is an artist.,yes
Consider the following premises: There is at least one u for which u will take a plane or u will play a game. Can we infer the following from them? Answer yes or no: There is at least one u for which u will take a plane or there is at least one u for which u will play a game.,yes
"Consider the following premises: There is at least one x for which if x were a server, then x is excited. For all x, if x were excited, then x is drinking water. Can we infer the following from them? Answer yes or no: There is at least one x for which x is a server.",no
Consider the following premises: There is at least one x for which x will play a game or x will go running. Can we infer the following from them? Answer yes or no: There is at least one x for which x will play a game or there is at least one x for which x will go running.,yes
"Consider the following premises: For all x, x is a police officer. Can we infer the following from them? Answer yes or no: U_4 is not a police officer.",no
"Consider the following premises: W is sad. Can we infer the following from them? Answer yes or no: For all y, y is sad.",yes
"Consider the following premises: For all x, if x goes running, then x is an astronaut. For all x, x will go running. Can we infer the following from them? Answer yes or no: For all x, x is an astronaut.",yes
"Consider the following premises: There is at least one x for which if x were happy, then x is a scientist and if x were a scientist, then x is happy. Can we infer the following from them? Answer yes or no: There is at least one x for which x is happy if and only if x is a scientist.",yes
"Consider the following premises: For all w, w will cook. Can we infer the following from them? Answer yes or no: Linda is curious.",no
"Consider the following premises: There is at least one x for which x is not a soldier. For all x, x is a soldier if and only if x will play a game. Can we infer the following from them? Answer yes or no: For all x, x will play a game.",no
Consider the following premises: There is at least one z for which z will play a game and z is a lawyer. Can we infer the following from them? Answer yes or no: There is at least one z for which z will play a game and there is at least one z for which z is a lawyer.,yes
Consider the following premises: There is at least one w for which the claim that w will drive a car and the claim that w will play a game cannot both be true. Can we infer the following from them? Answer yes or no: There is at least one w for which w will not sleep.,no
"Consider the following premises: For all v, if v writes a letter, then v is cooking. There is at least one v for which if v cooks, then v is writing a letter. Can we infer the following from them? Answer yes or no: For all v, it is not true that v will write a letter if and only if v will cook.",no
"Consider the following premises: There is at least one w for which if w were an astronaut, then w is not working. For all w, w will work. Can we infer the following from them? Answer yes or no: There is at least one w for which w is not an astronaut.",yes
"Consider the following premises: For all x, if x plays squash, then x is an office clerk. For all x, x will play squash. Can we infer the following from them? Answer yes or no: For all x, x is bored.",no
"Consider the following premises: For all z, if z writes a letter, then z is a musician. Can we infer the following from them? Answer yes or no: For all z, z will not climb a mountain.",no
"Consider the following premises: There is at least one y_2 for which y_2 is a mechanic or y_2 is an electrician. For all y_2, y_2 is not a mechanic or y_2 will work. Can we infer the following from them? Answer yes or no: There is at least one y_2 for which y_2 is an electrician or y_2 will work.",yes
"Consider the following premises: There is at least one x for which if x were a cashier, then x is a police officer. For all x, x is not a police officer. Can we infer the following from them? Answer yes or no: There is at least one x for which x is not a cashier.",yes
"Consider the following premises: For all z, z is sad or z will drink water or z is a police officer. Can we infer the following from them? Answer yes or no: For all z, z is sad or z will drink water or z is a police officer.",yes
Consider the following premises: There is at least one x for which x is an electrician or x is a politician. Can we infer the following from them? Answer yes or no: There is at least one x for which x is an electrician or there is at least one x for which x is a politician.,yes
"Consider the following premises: For all x, x will not read a book. There is at least one x for which x will read a book if and only if x will cook. Can we infer the following from them? Answer yes or no: There is at least one x for which x will not cook.",yes
"Consider the following premises: For all x, if x were a bartender, then x is a lawyer and if x were a lawyer, then x is a bartender. Can we infer the following from them? Answer yes or no: For all x, x is a bartender if and only if x is a lawyer.",yes
"Consider the following premises: If Sarah reads a book, then for all x, x is a politician. Can we infer the following from them? Answer yes or no: Not for all x, if Sarah reads a book, then x is a politician.",no
"Consider the following premises: For all v, v will cook if and only if v will read a book. Can we infer the following from them? Answer yes or no: For all v, if v cooks, then v is reading a book and if v reads a book, then v is cooking.",yes
"Consider the following premises: For all z_4, z_4 will read a book. Can we infer the following from them? Answer yes or no: Jennifer is reading a book.",yes
"Consider the following premises: For all v, if v takes a plane, then v is making tea. There is at least one v for which if v makes tea, then v is taking a plane. Can we infer the following from them? Answer yes or no: There is at least one v for which v will take a plane if and only if v will make tea.",yes
"Consider the following premises: There is at least one v for which v will play tennis or v is a sailor. For all v, v will play tennis. Can we infer the following from them? Answer yes or no: There is at least one v for which v is a sailor.",no
"Consider the following premises: There is at least one y for which y is a police officer. For all y, if y makes tea, then y is a police officer. Can we infer the following from them? Answer yes or no: There is at least one y for which y will make tea.",no
"Consider the following premises: For all u, u is not a musician. There is at least one u for which if u were a musician, then u is a bartender. Can we infer the following from them? Answer yes or no: There is at least one u for which u is not a bartender.",no
"Consider the following premises: For all u, u is not an artist. There is at least one u for which if u were an artist, then u is sleeping. Can we infer the following from them? Answer yes or no: There is at least one u for which u will not sleep.",no
"Consider the following premises: For all w_4, w_4 will not sleep. There is at least one w_4 for which the claim that w_4 will sleep and the claim that w_4 is excited cannot both be true. Can we infer the following from them? Answer yes or no: There is at least one w_4 for which w_4 is excited.",no
"Consider the following premises: For all w_1, w_1 is a mechanic. For all w_1, w_1 is a mechanic or w_1 will play squash. Can we infer the following from them? Answer yes or no: For all w_1, w_1 will play squash.",no
"Consider the following premises: There is at least one y for which if y were a cashier, then y is sleeping. For all y, y is not a cashier. Can we infer the following from them? Answer yes or no: There is at least one y for which y will not sleep.",no
"Consider the following premises: For all x, x will read a book or x is happy. There is at least one x for which x will read a book. Can we infer the following from them? Answer yes or no: There is at least one x for which x is happy.",no
"Consider the following premises: There is at least one w for which if w were a sailor, then w is writing a letter. For all w, w is not a sailor. Can we infer the following from them? Answer yes or no: There is at least one w for which w will not write a letter.",no
